Date/Time,Word Count,en,ru
2020.02.03-18.22.34,1,1,0
2020.02.03-18.29.34,10,10,1
2020.02.03-18.44.53,12,12,10
2020.02.03-18.45.51,12,12,12
2020.02.09-15.22.04,12,12,0
2020.02.09-15.24.08,12,12,12
2020.02.09-15.25.08,13,13,12
2020.02.09-15.25.37,13,13,13
2020.02.09-15.29.53,14,14,2
2020.02.09-15.31.59,14,14,14
2020.02.10-11.40.27,20,20,14
2020.02.10-11.41.33,20,20,20
2020.02.10-23.34.21,21,21,20
2020.02.10-23.35.32,21,21,21
2020.02.11-21.07.56,22,22,21
2020.02.11-21.08.21,22,22,22
2020.02.13-10.53.26,68,68,21
2020.02.13-10.54.03,68,68,24
2020.02.13-10.54.33,68,68,68
2020.02.24-15.32.40,70,70,68
2020.02.24-15.33.12,70,70,70
2020.02.24-20.53.48,71,71,70
2020.02.24-20.54.18,71,71,71
2020.02.25-14.14.31,72,72,71
2020.02.25-14.15.09,72,72,72
